2026-03-16 12:17:06 [main] INFO  utils.Log - Loaded JDBC driver: org.hsqldb.jdbcDriver
2026-03-16 12:17:07 [main] INFO  utils.Log - Initializing browser setup...
2026-03-16 12:17:07 [main] INFO  utils.Log - Launching Chrome browser...
2026-03-16 12:17:09 [main] INFO  utils.Log - Navigating to: http://localhost:8080/parabank/index.htm
2026-03-16 12:17:09 [main] INFO  utils.Log - Browser setup completed.
2026-03-16 12:17:09 [main] INFO  utils.Log - ====================== STARTING SCENARIO ======================
2026-03-16 12:17:09 [main] INFO  utils.Log - Scenario: Customer should be able to create a checking account
2026-03-16 12:17:09 [main] INFO  utils.Log - Tags: @UI, @smokeAccSer
2026-03-16 12:17:09 [main] INFO  utils.Log - ===============================================================
2026-03-16 12:17:11 [main] INFO  utils.Log - Enter login credentials and clicked login successfully
2026-03-16 12:17:11 [main] INFO  utils.Log - Successfully clicked and navigated to open account page
2026-03-16 12:17:16 [main] ERROR utils.Log - Scenario failed: Customer should be able to create a checking account
2026-03-16 12:17:16 [main] INFO  utils.Log - Screenshot captured as Base64.
2026-03-16 12:17:16 [main] INFO  utils.Log - ====================== ENDING SCENARIO ======================
2026-03-16 12:17:16 [main] INFO  utils.Log - Scenario Status: FAILED
2026-03-16 12:17:16 [main] INFO  utils.Log - =============================================================
2026-03-16 12:17:21 [main] INFO  utils.Log - Tearing down the browser...
2026-03-16 12:17:21 [main] INFO  utils.Log - Browser teardown completed.
